,0,1,2
0,1.75,0.0,-10.0
1,1.75,0.0,-9.0
2,1.75,0.0,-8.0
3,1.75,0.0,-7.0
4,1.75,0.0,-6.0
5,1.75,0.0,-5.0
6,1.75,0.0,-4.0
7,1.75,0.0,-3.0
8,1.75,0.0,-2.0
9,1.75,0.0,-1.0
10,1.75,0.0,0.0
11,1.75,0.0,1.0
12,1.75,0.0,2.0
13,1.75,0.0,3.0
14,1.75,0.0,4.0
15,1.75,0.0,5.0
16,1.75,0.0,6.0
17,1.75,0.0,7.0
18,1.75,0.0,8.0
19,1.75,0.0,9.0
20,1.75,0.0,10.0
21,1.67857,0.494872,-10.0
22,1.67857,0.494872,-9.0
23,1.67857,0.494872,-8.0
24,1.67857,0.494872,-7.0
25,1.67857,0.494872,-6.0
26,1.67857,0.494872,-5.0
27,1.67857,0.494872,-4.0
28,1.67857,0.494872,-3.0
29,1.67857,0.494872,-2.0
30,1.67857,0.494872,-1.0
31,1.67857,0.494872,0.0
32,1.67857,0.494872,1.0
33,1.67857,0.494872,2.0
34,1.67857,0.494872,3.0
35,1.67857,0.494872,4.0
36,1.67857,0.494872,5.0
37,1.67857,0.494872,6.0
38,1.67857,0.494872,7.0
39,1.67857,0.494872,8.0
40,1.67857,0.494872,9.0
41,1.67857,0.494872,10.0
42,1.47012,0.94934595,-10.0
43,1.47012,0.94934595,-9.0
44,1.47012,0.94934595,-8.0
45,1.47012,0.94934595,-7.0
46,1.47012,0.94934595,-6.0
47,1.47012,0.94934595,-5.0
48,1.47012,0.94934595,-4.0
49,1.47012,0.94934595,-3.0
50,1.47012,0.94934595,-2.0
51,1.47012,0.94934595,-1.0
52,1.47012,0.94934595,0.0
53,1.47012,0.94934595,1.0
54,1.47012,0.94934595,2.0
55,1.47012,0.94934595,3.0
56,1.47012,0.94934595,4.0
57,1.47012,0.94934595,5.0
58,1.47012,0.94934595,6.0
59,1.47012,0.94934595,7.0
60,1.47012,0.94934595,8.0
61,1.47012,0.94934595,9.0
62,1.47012,0.94934595,10.0
63,1.14165,1.32632,-10.0
64,1.14165,1.32632,-9.0
65,1.14165,1.32632,-8.0
66,1.14165,1.32632,-7.0
67,1.14165,1.32632,-6.0
68,1.14165,1.32632,-5.0
69,1.14165,1.32632,-4.0
70,1.14165,1.32632,-3.0
71,1.14165,1.32632,-2.0
72,1.14165,1.32632,-1.0
73,1.14165,1.32632,0.0
74,1.14165,1.32632,1.0
75,1.14165,1.32632,2.0
76,1.14165,1.32632,3.0
77,1.14165,1.32632,4.0
78,1.14165,1.32632,5.0
79,1.14165,1.32632,6.0
80,1.14165,1.32632,7.0
81,1.14165,1.32632,8.0
82,1.14165,1.32632,9.0
83,1.14165,1.32632,10.0
84,0.719992,1.59503,-10.0
85,0.719992,1.59503,-9.0
86,0.719992,1.59503,-8.0
87,0.719992,1.59503,-7.0
88,0.719992,1.59503,-6.0
89,0.719992,1.59503,-5.0
90,0.719992,1.59503,-4.0
91,0.719992,1.59503,-3.0
92,0.719992,1.59503,-2.0
93,0.719992,1.59503,-1.0
94,0.719992,1.59503,0.0
95,0.719992,1.59503,1.0
96,0.719992,1.59503,2.0
97,0.719992,1.59503,3.0
98,0.719992,1.59503,4.0
99,0.719992,1.59503,5.0
100,0.719992,1.59503,6.0
101,0.719992,1.59503,7.0
102,0.719992,1.59503,8.0
103,0.719992,1.59503,9.0
104,0.719992,1.59503,10.0
105,0.23955701,1.73353,-10.0
106,0.23955701,1.73353,-9.0
107,0.23955701,1.73353,-8.0
108,0.23955701,1.73353,-7.0
109,0.23955701,1.73353,-6.0
110,0.23955701,1.73353,-5.0
111,0.23955701,1.73353,-4.0
112,0.23955701,1.73353,-3.0
113,0.23955701,1.73353,-2.0
114,0.23955701,1.73353,-1.0
115,0.23955701,1.73353,0.0
116,0.23955701,1.73353,1.0
117,0.23955701,1.73353,2.0
118,0.23955701,1.73353,3.0
119,0.23955701,1.73353,4.0
120,0.23955701,1.73353,5.0
121,0.23955701,1.73353,6.0
122,0.23955701,1.73353,7.0
123,0.23955701,1.73353,8.0
124,0.23955701,1.73353,9.0
125,0.23955701,1.73353,10.0
126,-0.260434,1.73051,-10.0
127,-0.260434,1.73051,-9.0
128,-0.260434,1.73051,-8.0
129,-0.260434,1.73051,-7.0
130,-0.260434,1.73051,-6.0
131,-0.260434,1.73051,-5.0
132,-0.260434,1.73051,-4.0
133,-0.260434,1.73051,-3.0
134,-0.260434,1.73051,-2.0
135,-0.260434,1.73051,-1.0
136,-0.260434,1.73051,0.0
137,-0.260434,1.73051,1.0
138,-0.260434,1.73051,2.0
139,-0.260434,1.73051,3.0
140,-0.260434,1.73051,4.0
141,-0.260434,1.73051,5.0
142,-0.260434,1.73051,6.0
143,-0.260434,1.73051,7.0
144,-0.260434,1.73051,8.0
145,-0.260434,1.73051,9.0
146,-0.260434,1.73051,10.0
147,-0.739165,1.5862299,-10.0
148,-0.739165,1.5862299,-9.0
149,-0.739165,1.5862299,-8.0
150,-0.739165,1.5862299,-7.0
151,-0.739165,1.5862299,-6.0
152,-0.739165,1.5862299,-5.0
153,-0.739165,1.5862299,-4.0
154,-0.739165,1.5862299,-3.0
155,-0.739165,1.5862299,-2.0
156,-0.739165,1.5862299,-1.0
157,-0.739165,1.5862299,0.0
158,-0.739165,1.5862299,1.0
159,-0.739165,1.5862299,2.0
160,-0.739165,1.5862299,3.0
161,-0.739165,1.5862299,4.0
162,-0.739165,1.5862299,5.0
163,-0.739165,1.5862299,6.0
164,-0.739165,1.5862299,7.0
165,-0.739165,1.5862299,8.0
166,-0.739165,1.5862299,9.0
167,-0.739165,1.5862299,10.0
168,-1.15756,1.31246,-10.0
169,-1.15756,1.31246,-9.0
170,-1.15756,1.31246,-8.0
171,-1.15756,1.31246,-7.0
172,-1.15756,1.31246,-6.0
173,-1.15756,1.31246,-5.0
174,-1.15756,1.31246,-4.0
175,-1.15756,1.31246,-3.0
176,-1.15756,1.31246,-2.0
177,-1.15756,1.31246,-1.0
